buyer_name_clean,ocid,level1,start_date,end_date,co2_pm
"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN. NHS FOUNDATION TRUST",ocds-0c46vo-0001-31515734-211c-4486-bbb8-c7d723b2df45,NHS,2019-04-01,2022-03-31,0.10947397717937956199
HULL AND EAST YORKSHIRE HOSPITALS NFT,ocds-0c46vo-0001-c3718a44-4108-4b45-82b9-a23b855ef543,NHS,2019-04-01,2024-03-31,4.0427448632594417
DEPARTMENT FOR WORK AND PENSIONS,ocds-0c46vo-0001-afbdcd27-eb60-4637-8d89-8cac41cbe55c,Central Government,2019-04-02,2022-04-01,0.58746414744525547418
NHS DIGITAL,ocds-0c46vo-0001-17c5dc8d-31ba-4bd6-a4ee-144a4698b9bc,Central Government,2019-04-02,2022-04-01,5.0354069781021898
GOVERNMENT DIGITAL SERVICE,ocds-0c46vo-0001-2d163e9a-9b2c-4fd4-86d6-072880b6f761,Central Government,2019-04-02,2022-04-01,0.0027752463503649635
WEST SUFFOLK NHS FOUNDATION TRUST,ocds-0c46vo-0001-2555da39-d8a0-4eac-bfc8-eed42f57db64,NHS,2019-04-03,2024-04-02,0.24019328799261083736
HOMES ENGLAND,ocds-0c46vo-0001-117969b6-6a06-46fe-8043-54e3e48b6ed5,Central Government,2019-04-04,2023-04-03,10.4095482546201232
MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ocds-0c46vo-0001-83dba403-9abb-4c4a-95ad-198ddbee562b,NHS,2019-04-05,2022-04-04,0.02997266058394160583
WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,ocds-0c46vo-0001-1c546b44-f671-4eb7-8bf9-8b42972adb80,NHS,2019-04-05,2022-03-31,0.53479912087912087902
MINISTRY OF JUSTICE,ocds-0c46vo-0001-0f7f4509-7a70-49ff-9dd1-565d1c691cc2,Central Government,2019-04-06,2022-04-05,4.2917039542965328
BRITISH BUSINESS BANK,ocds-0c46vo-0001-0eba7b29-b1e4-492b-ae2e-e82f458071e1,Central Government,2019-04-08,2022-03-31,0.78206391184573002812
MINISTRY OF JUSTICE,ocds-0c46vo-0001-c5ef81e9-40f1-4442-8069-3ab601d5094b,Central Government,2019-04-11,2024-04-11,0.5212883598410284464
HOMES ENGLAND,ocds-0c46vo-0001-1c8e93f1-eae2-4e59-b202-3540b4a2bdc7,Central Government,2019-04-11,2022-03-31,0.01575702693646408838
CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ocds-0c46vo-0001-cdd0af7f-da8a-4d1a-b8e8-92d89856d664,NHS,2019-04-11,2022-04-11,0.02335902742206016409
MARITIME AND COASTGUARD AGENCY,ocds-0c46vo-0001-9b95e676-fb3e-44fd-b259-1cddbb17067d,Central Government,2019-04-11,2022-04-10,0.12488608576642335761
DEFENCE SUPPORT GROUP,ocds-0c46vo-0001-7a680e80-f053-4dbf-9e19-c6a8e55beebe,Central Government,2019-04-12,2024-04-11,0.09519245060755336614
MINISTRY OF DEFENCE,ocds-0c46vo-0001-1893fe86-b474-49d3-880d-5155516c7a51,Central Government,2019-04-12,2022-03-31,0.2048846484940092168
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-9eff98c7-0b8e-455a-9f1f-5704de9c0169,Central Government,2019-04-15,2022-04-14,0.03245564574114963502
PARTNERS PROCUREMENT SERVICE,ocds-0c46vo-0001-97e2ab6d-8bdc-4f70-b405-8d66724b0d37,NHS,2019-04-15,2022-04-14,0.07534793841240875909
NHS DIGITAL,ocds-0c46vo-0001-3dfdc3df-e5ec-4d2b-af2f-03b11b5b76b6,Central Government,2019-04-15,2022-04-14,0.54949877737226277346
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-637c5ad7-c7e1-4e78-8415-e2a65d29d67d,Central Government,2019-04-15,2022-04-14,0.03322580435583941604
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-c27165cc-ff16-4ee7-a0d4-4fde45e1c1c9,Central Government,2019-04-15,2022-04-14,0.0329099813211678832
DEPARTMENT FOR WORK AND PENSIONS,ocds-0c46vo-0001-52c4e92b-35ae-443c-96da-046558b0f882,Central Government,2019-04-16,2023-10-23,1.3809034503631961
CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ocds-0c46vo-0001-fe9530a5-ce10-40f9-b4b4-f71c58d6ec98,NHS,2019-04-16,2022-04-14,0.154166835616438356
EQUALITY AND HUMAN RIGHTS COMMISSION,ocds-0c46vo-0001-ede590fe-2682-4c5e-8d3e-b4a61e8352cc,Central Government,2019-04-16,2022-04-15,0.00739159112956204379
DOUNREAY SITE RESTORATION LIMITED,ocds-0c46vo-0001-b8e3737b-eea4-44ba-83e8-265fcbc3e2e5,Central Government,2019-04-17,2024-04-16,0.45823432811822660083
MINISTRY OF JUSTICE,ocds-0c46vo-0001-dc0eb4c7-a6e0-44bf-9cc9-b5cdf79177c5,Central Government,2019-04-18,2022-02-11,3.3807687065645005
"ROYAL BOTANIC GARDENS, KEW",ocds-0c46vo-0001-5f80e14c-8bff-4888-a831-84221531e4ea,Central Government,2019-04-19,2023-04-20,0.01746413397129186603
FINANCIAL SERVICES COMPENSATION SCHEME,ocds-0c46vo-0001-72f547c9-4f7a-4e42-82cf-d1215314bbaf,Central Government,2019-04-23,2022-09-09,0.09277585679611650491
COMPETITION AND MARKETS AUTHORITY,ocds-0c46vo-0001-1279b5bc-fff7-40fb-b9df-a6b50e462dcd,Central Government,2019-04-23,2023-04-22,0.01605568722792607802
INSOLVENCY SERVICE,ocds-0c46vo-0001-099de02b-b9b9-4431-9e59-8302824063ef,Central Government,2019-04-23,2022-08-31,0.74864249388753056274
OFFICE OF THE IMMIGRATION SERVICES COMMISSIONER,ocds-0c46vo-0001-cf58f23b-b4f3-4670-9834-178aaa0af8a2,Central Government,2019-04-24,2022-11-07,0.04907300625153013913
DEPARTMENT FOR BUSINESS ENERGY AND INDUSTRIAL STRATEGY,ocds-0c46vo-0001-9eacf783-bb9a-44ba-b111-6a2034efc35b,Central Government,2019-04-25,2022-04-25,0.13863582497721057431
HIGHWAYS ENGLAND,ocds-0c46vo-0001-99aebeb4-e5c8-4523-a1d1-72cd18dfc442,Central Government,2019-04-25,2022-03-31,0.11065416705139925387
DEPARTMENT FOR DIGITAL CULTURE MEDIA AND SPORT,ocds-0c46vo-0001-20c69ddf-0ec4-4ec7-8a49-4e08221d48fb,Central Government,2019-04-26,2021-11-13,0.01191624590990353699
SOUTHPORT AND ORMSKIRK HOSPITAL NFT,ocds-0c46vo-0001-b19bbbd9-079d-472a-99e2-4ae673a15e08,NHS,2019-04-26,2022-04-25,0.3467836829562043794
DEPARTMENT OF HEALTH AND SOCIAL CARE,ocds-0c46vo-0001-f5528a94-32dc-4452-add0-8ef221abe7ac,Central Government,2019-04-29,2022-04-30,0.05263363387978142081
HM REVENUE AND CUSTOMS,ocds-0c46vo-0001-39210fe7-ba52-494d-9ebe-88f631e65f9f,Central Government,2019-04-29,2021-11-24,2.9838911995217853
DEPARTMENT FOR EDUCATION,ocds-0c46vo-0001-98afdb8d-c6e4-4295-9b58-3378d4d449ea,Central Government,2019-04-29,2021-09-30,1.3182858690744921
CARE QUALITY COMMISSION,ocds-0c46vo-0001-4fc43410-1f45-4982-a58e-40b7ed46140c,Central Government,2019-04-29,2022-04-28,0.02481847306204379561
HM REVENUE AND CUSTOMS TAXES AND DUTIES,ocds-0c46vo-0001-39210fe7-ba52-494d-9ebe-88f631e65f9f,Central Government,2019-04-29,2021-11-24,2.9838911995217853
HM REVENUE AND CUSTOMS TAXES AND DUTIES,ocds-0c46vo-0001-5377f9bd-86d3-4b03-a5c1-10030da9d64a,Central Government,2019-04-29,2021-12-23,2.9666277678479381
FOLKESTONE & HYTHE DISTRICT COUNCIL,ocds-0c46vo-0001-ab611745-82b0-4963-bb5b-033d4d668719,NHS,2019-04-29,2022-12-05,0.26151190864578587723
HM REVENUE AND CUSTOMS,ocds-0c46vo-0001-5377f9bd-86d3-4b03-a5c1-10030da9d64a,Central Government,2019-04-29,2021-12-23,2.9666277678479381
DEPARTMENT FOR EDUCATION,ocds-0c46vo-0001-8b79912a-c97b-441e-a911-9288fc826c96,Central Government,2019-04-30,2022-07-31,1.2279239697224558
HOMES ENGLAND,ocds-0c46vo-0001-477152d0-9c3c-4c94-8423-49d6f8054f88,Central Government,2019-04-30,2024-09-07,0.05437101634320735446
HM LAND REGISTRY,ocds-0c46vo-0001-636545f6-913e-4195-92b1-4863ac7c75be,Central Government,2019-04-30,2026-04-29,0.00180168689166992569
NHS ARDEN AND GREATER EAST MIDLANDS COMMISSIONING SUPPORT UNIT,ocds-0c46vo-0001-9fc9d4b8-0cfa-4af9-9e6d-905ca6446817,NHS,2019-04-30,2023-03-31,2.2685080726256983
OFFICE FOR NUCLEAR REGULATION (ONR),ocds-0c46vo-0001-f87b9b6f-2865-4d1b-bf4d-c64d4bb2d61d,Central Government,2019-04-30,2021-09-30,0.0373369288644067796
ENGLISH HERITAGE,ocds-0c46vo-0001-a461e7d6-fe08-4e49-96f8-1b5f5024daea,Central Government,2019-05-01,2022-05-01,0.20795373746581586147
FOREIGN AND COMMONWEALTH OFFICE,ocds-0c46vo-0001-b46fcc86-13e8-43f4-b9f5-2c9ed028d7f0,Central Government,2019-05-01,2022-04-30,0.15541379562043795613
FOREIGN AND COMMONWEALTH OFFICE,ocds-0c46vo-0001-f7b9f85e-0002-4fe4-b95b-55eb9922d310,Central Government,2019-05-01,2022-05-05,0.56357918256130790183
MINISTRY OF DEFENCE,ocds-0c46vo-0001-c567d124-3cd7-4f89-9d7b-ada180b19442,Central Government,2019-05-01,2023-04-30,0.83276386036960985574
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-34bf4f59-0afe-4567-b4bf-7a5df6374bfa,Central Government,2019-05-01,2023-03-31,0.60365777777777777774
NHS SOUTH TYNESIDE CCG,ocds-0c46vo-0001-482a6345-7c2e-431b-a78a-49620e7bf004,NHS,2019-05-01,2022-03-31,0.69133934815666041296
HULL AND EAST YORKSHIRE HOSPITALS NFT,ocds-0c46vo-0001-63ed347a-689a-4717-a3b2-6ef5d957d332,NHS,2019-05-01,2022-04-30,0.03239656074635036495
UNITED LINCOLNSHIRE HOSPITALS NFT,ocds-0c46vo-0001-e559adb1-61ba-4b2b-acd1-d5328718fdd7,NHS,2019-05-01,2022-04-30,1.0407173813868613
TRINITY HOUSE,ocds-0c46vo-0001-b2bb1a19-6d07-4e7a-a365-8e56d0e915c1,Central Government,2019-05-01,2024-04-30,0.06486830261556650244
ROYAL FREE LONDON NHSFT,ocds-0c46vo-0001-b9526f23-b43c-465a-804a-a11945d2f161,NHS,2019-05-01,2024-04-30,1.09781728363711
MINISTRY OF DEFENCE,ocds-0c46vo-0001-6ac6c476-7c01-4817-a489-421e47661182,Central Government,2019-05-01,2023-04-30,1.2491457905544148
DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,ocds-0c46vo-0001-bbff3699-3b35-4238-9671-525c6a9bcaf8,NHS,2019-05-01,2022-04-30,0.32604981747262773707
PARTNERS PROCUREMENT SERVICE,ocds-0c46vo-0001-f1ac0548-fe17-4fb4-9665-eb1b46ce14e8,NHS,2019-05-01,2026-06-27,0.06064729399617590819
CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ocds-0c46vo-0001-068f5389-3b5f-46cd-bcde-4812e429ad82,NHS,2019-05-01,2022-04-30,22.4794954379562044
NHS TOWER HAMLETS CCG,ocds-0c46vo-0001-05fac9a9-4533-4ac7-b00d-945ce8e9f253,NHS,2019-05-01,2022-04-30,17.4840520072992701
OFCOM,ocds-0c46vo-0001-2f401554-e791-44ad-a424-90ab0e644adc,Central Government,2019-05-01,2023-04-30,0.1033886742197125256
FOREIGN AND COMMONWEALTH OFFICE,ocds-0c46vo-0001-7dad246c-90a4-46aa-80e7-137515a19191,Central Government,2019-05-01,2022-04-30,0.49954434306569343042
HULL AND EAST YORKSHIRE HOSPITALS NFT,ocds-0c46vo-0001-2b0344f4-87ab-4f20-bd01-775c5475de44,NHS,2019-05-01,2024-04-30,0.08770398226600985219
HULL AND EAST YORKSHIRE HOSPITALS NFT,ocds-0c46vo-0001-1e5eb939-9060-48d6-a4d6-5febd2fc823c,NHS,2019-05-01,2024-04-30,0.01046187973727422003
PUBLIC HEALTH ENGLAND,ocds-0c46vo-0001-21b7f787-711f-40df-80d1-03f4c127140d,Central Government,2019-05-01,2022-04-30,0.41315231180200729908
NHS BUSINESS SERVICES AUTHORITY,ocds-0c46vo-0001-3f860e8d-84fb-4f1d-bfc4-1fbdb7144353,Central Government,2019-05-02,2023-05-01,0.01124231211498973305
BIRMINGHAM WOMEN`S NHS FOUNDATION TRUST,ocds-0c46vo-0001-d201df12-2117-451b-b516-f646073e6675,NHS,2019-05-04,2024-05-03,5.5938758620689655
MINISTRY OF DEFENCE,ocds-0c46vo-0001-4b99fb8b-c785-4e66-ad0d-98e27e05ebd3,Central Government,2019-05-04,2023-04-30,17.1764721699897119
INSOLVENCY SERVICE,ocds-0c46vo-0001-014ecedc-1fa0-49a9-8bba-1abbac315ba4,Central Government,2019-05-07,2024-05-06,2.1513090945057471
HEALTH EDUCATION ENGLAND,ocds-0c46vo-0001-6b96476d-d12e-4eb8-9768-7405526cb996,Central Government,2019-05-07,2022-05-31,0.04494773168413916152
MINISTRY OF DEFENCE,ocds-0c46vo-0001-bff9c5cb-1b65-4276-bdfd-81e72f0fda37,Central Government,2019-05-07,2024-04-30,0.04661034897013179575
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-2420fba6-9b85-41b1-aab1-2e55c4c72678,Central Government,2019-05-07,2022-11-06,0.03326826562500000001
MINISTRY OF DEFENCE,ocds-0c46vo-0001-195a11f5-dfdb-4cff-bb58-95cd66807afb,Central Government,2019-05-08,2022-05-06,11.6666794520547945
FCO SERVICES,ocds-0c46vo-0001-5b63e9ea-6b0d-434d-9943-78002cdbae6f,Central Government,2019-05-09,2022-12-01,0.14634628010302379134
NATIONAL MUSEUMS LIVERPOOL,ocds-0c46vo-0001-3bf4056f-ef25-47a1-8243-d62d33aac567,Central Government,2019-05-09,2022-05-08,0.26383034843540145973
FCO SERVICES,ocds-0c46vo-0001-c4a85442-f22a-4aab-b64a-a5a55e452aeb,Central Government,2019-05-09,2022-12-01,0.05807618567115886419
DEPARTMENT FOR BUSINESS ENERGY AND INDUSTRIAL STRATEGY,ocds-0c46vo-0001-122f946a-4ba6-4af2-8ae2-d22ca7617ffe,Central Government,2019-05-13,2021-09-20,0.02040953512761020884
HIGHWAYS ENGLAND,ocds-0c46vo-0001-26e4614d-6ce5-4492-9e7c-ca9b975a3f93,Central Government,2019-05-13,2022-03-31,0.12975693805628083507
DEPARTMENT FOR DIGITAL CULTURE MEDIA AND SPORT,ocds-0c46vo-0001-68f38f13-7933-41d5-ad66-39b1ddc7b8f2,Central Government,2019-05-13,2023-03-31,0.00428706131078224102
MINISTRY OF DEFENCE,ocds-0c46vo-0001-11885cc5-4127-41c4-a64a-04d3f3224364,Central Government,2019-05-13,2023-05-31,0.59942807244729729725
NHS BUSINESS SERVICES AUTHORITY,ocds-0c46vo-0001-34e89eee-323c-447d-828e-c74cde0863df,Central Government,2019-05-14,2022-05-13,2.4977217153284672
FCO SERVICES,ocds-0c46vo-0001-4a33180b-f561-4e01-99ab-b5eebd71b75c,Central Government,2019-05-15,2022-12-01,0.18573539244286815725
DEFENCE EQUIPMENT AND SUPPORT,ocds-0c46vo-0001-47eaaad9-8def-4470-b22c-14ee499efd2e,Central Government,2019-05-16,2024-03-31,0.4614829575673400671
HM REVENUE AND CUSTOMS,ocds-0c46vo-0001-c704544b-8bba-4944-a794-6e8c8b3e6d39,Central Government,2019-05-20,2024-05-20,0.49917997811816192562
HM REVENUE AND CUSTOMS TAXES AND DUTIES,ocds-0c46vo-0001-c704544b-8bba-4944-a794-6e8c8b3e6d39,Central Government,2019-05-20,2024-05-20,0.49917997811816192562
MINISTRY OF DEFENCE,ocds-0c46vo-0001-2245f1a3-97db-4a84-a445-4a335342c815,Central Government,2019-05-22,2022-08-31,0.14101491872704507502
MINISTRY OF DEFENCE,ocds-0c46vo-0001-170cbf32-4194-4f9a-9651-973f0c3abc11,Central Government,2019-05-22,2022-05-21,0.05023195894160583939
DRIVER AND VEHICLE LICENSING AGENCY,ocds-0c46vo-0001-1615ef2b-62da-412c-8d78-1d26890092df,Central Government,2019-05-27,2022-05-26,0.01023782828156934306
DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,ocds-0c46vo-0001-a08cdd94-66d4-45bd-b7c6-4dd7d6764e3b,NHS,2019-05-27,2022-05-26,0.01407160909489051094
NATIONAL CITIZEN SERVICE,ocds-0c46vo-0001-c5a5fdcb-094b-4a59-a34b-8f4b67e3eb99,Central Government,2019-05-28,2022-05-27,0.37465825729927007282
DEPARTMENT FOR WORK AND PENSIONS,ocds-0c46vo-0001-6e58f784-35ed-4754-985a-c2a49e2edd0a,Central Government,2019-05-28,2022-05-27,0.00875941014678832116
HOMES ENGLAND,ocds-0c46vo-0001-80aca340-4f3d-499a-9a31-12265a53ad0b,Central Government,2019-05-28,2021-09-30,0.09050476662777129529
NATIONAL MUSEUMS LIVERPOOL,ocds-0c46vo-0001-dd8ebbc8-00c9-48ef-bdbb-0797d68d57ca,Central Government,2019-05-30,2022-05-30,0.20419027390665451234
MINISTRY OF JUSTICE,ocds-0c46vo-0001-8c2f9594-a5ae-400d-9861-80bc6f10f2e0,Central Government,2019-05-30,2023-05-30,7.2271077833105335
FOREIGN AND COMMONWEALTH OFFICE,ocds-0c46vo-0001-9510d2dc-0bc8-4c8c-9e05-ff6112ef9425,Central Government,2019-06-01,2022-03-31,8.8161893918405797
NHS ARDEN AND GREATER EAST MIDLANDS COMMISSIONING SUPPORT UNIT,ocds-0c46vo-0001-a2d327f6-6807-4204-9205-4fca94f98987,NHS,2019-06-01,2022-05-31,4.3293843065693431
STUDENT LOANS COMPANY LIMITED,ocds-0c46vo-0001-8d8a34c7-dcd2-464a-8023-8d954b610085,Central Government,2019-06-01,2023-05-31,0.29796099388336755628
MARITIME AND COASTGUARD AGENCY,ocds-0c46vo-0001-b857f343-b3ee-4c7a-a833-b72515d0b1e6,Central Government,2019-06-01,2022-05-31,0.00999088686131386861
DEPARTMENT OF HEALTH AND SOCIAL CARE,ocds-0c46vo-0001-42a1934f-895a-47fa-9eb1-d8483e5fe5f7,Central Government,2019-06-01,2022-05-31,0.07604174999999999996
DEPARTMENT FOR TRANSPORT,ocds-0c46vo-0001-f4332082-3f2a-4447-a293-00faada53702,Central Government,2019-06-01,2022-03-31,2.927056347826087
UNITED LINCOLNSHIRE HOSPITALS NFT,ocds-0c46vo-0001-19f13db7-6919-410b-a61c-27e4c5deadc0,NHS,2019-06-01,2022-05-31,0.49954434306569343042
EAST WEST RAILWAY COMPANY LIMITED,ocds-0c46vo-0001-98d1db77-245e-41c4-ae59-d0b46bc52401,Central Government,2019-06-01,2023-06-01,0.02625572872777017783
NHS ARDEN AND GREATER EAST MIDLANDS COMMISSIONING SUPPORT UNIT,ocds-0c46vo-0001-a0167003-62b0-4ec1-9bbc-47d41ba5169e,NHS,2019-06-01,2022-05-31,3.640559281620438
"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT",ocds-0c46vo-0001-3cd3938d-b3ff-4387-9472-bcdf84ba168e,NHS,2019-06-01,2022-05-31,0.7160135583941605836
HULL AND EAST YORKSHIRE HOSPITALS NFT,ocds-0c46vo-0001-2788dd3e-1d8e-4727-b93d-cb154d60d619,NHS,2019-06-01,2022-05-31,0.00903925488777372262
MINISTRY OF JUSTICE,ocds-0c46vo-0001-e0d713eb-f012-4392-b0bc-9eee4cb3f8b1,Central Government,2019-06-01,2022-05-31,15.9601459196879562
SALFORD ROYAL NHS FOUNDATION TRUST,ocds-0c46vo-0001-8a8dd687-2e33-478e-a7bf-c5b6ecc31ac5,NHS,2019-06-03,2022-06-02,21.2306345802919708
HOME OFFICE,ocds-0c46vo-0001-7a7c3546-149c-404c-a349-95a2ef5e98a3,Central Government,2019-06-03,2022-06-02,0.14442493017153284665
SALFORD ROYAL NHS FOUNDATION TRUST,ocds-0c46vo-0001-86f2047b-33f7-4fbf-9f69-e941847690ff,NHS,2019-06-03,2022-06-02,0.72433929744525547411
DEFENCE SUPPORT GROUP,ocds-0c46vo-0001-d8e95685-6df4-4e29-941d-afd697b253ca,Central Government,2019-06-03,2026-06-02,16.1005097575283535
HULL AND EAST YORKSHIRE HOSPITALS NFT,ocds-0c46vo-0001-ea260646-892b-4f0d-a265-231cb6580c44,NHS,2019-06-03,2024-06-02,0.22475394088669950731
FCO SERVICES,ocds-0c46vo-0001-539f4aca-3b19-421d-866f-1536924437d3,Central Government,2019-06-04,2022-12-01,0.06037703040563821463
HIGHWAYS ENGLAND,ocds-0c46vo-0001-7e082482-8a9d-4949-9e29-ebc78dfc2b49,Central Government,2019-06-04,2022-04-30,0.16968737993220338993
FCO SERVICES,ocds-0c46vo-0001-30a8f3d9-4308-41f1-aab3-021cd8738e86,Central Government,2019-06-04,2022-12-01,0.06126213970242756467
HOMES ENGLAND,ocds-0c46vo-0001-4f22c014-229c-40d7-ae75-b1e6b6de0a7e,Central Government,2019-06-05,2022-06-30,0.03019982513368983954
FCO SERVICES,ocds-0c46vo-0001-ce53fc19-97f3-4c7d-a45e-b087b6be450a,Central Government,2019-06-05,2022-12-01,0.07732420960815047026
FCO SERVICES,ocds-0c46vo-0001-6a088341-6876-4fb7-8943-daad84bcd0c3,Central Government,2019-06-05,2022-12-01,0.09833728645015673986
MINISTRY OF DEFENCE,ocds-0c46vo-0001-c1f391a7-32d2-4a43-a336-abfd6477dbd3,Central Government,2019-06-06,2022-06-05,0.35353180269172445239
NATIONAL SAVINGS AND INVESTMENTS,ocds-0c46vo-0001-c3681e62-f1ca-4c25-ac8b-4b967dbc1a8f,Central Government,2019-06-06,2024-06-05,0.02647101970443349753
MINISTRY OF DEFENCE,ocds-0c46vo-0001-c4535e63-f073-4fc2-9e86-fb57ec5d8024,Central Government,2019-06-06,2024-03-31,248.7225894378194208
MINISTRY OF DEFENCE,ocds-0c46vo-0001-c9f65961-c475-465a-92d1-4ff192d47dd2,Central Government,2019-06-08,2022-06-07,29.9726605839416058
DRIVER AND VEHICLE LICENSING AGENCY,ocds-0c46vo-0001-af9a412a-ecf1-4cd0-974a-a087fe492954,Central Government,2019-06-10,2022-06-09,0.11062572661675182477
DEPARTMENT FOR INTERNATIONAL TRADE,ocds-0c46vo-0001-2dbdac87-8ac4-462f-ac69-59b174dcb3c5,Central Government,2019-06-10,2022-06-09,0.10190704598540145981
DRIVER AND VEHICLE LICENSING AGENCY,ocds-0c46vo-0001-80603875-972e-4b62-b478-305e31e685dc,Central Government,2019-06-10,2022-06-09,0.11062572661675182477
FCO SERVICES,ocds-0c46vo-0001-91c3d593-cbf1-47d7-81f2-718d6c236244,Central Government,2019-06-10,2022-12-01,0.06578947938882769474
FCO SERVICES,ocds-0c46vo-0001-f7045263-42fe-4562-aacd-d0ff80c377c7,Central Government,2019-06-11,2022-12-01,0.09720280626103937005
CROWN COMMERCIAL SERVICE,ocds-0c46vo-0001-4569e349-9e8e-45cb-b099-6348bfe1ea1b,Central Government,2019-06-11,2022-06-10,124.8860857664233576
FCO SERVICES,ocds-0c46vo-0001-53f474bc-79eb-4e45-89e0-ad0a63754dbd,Central Government,2019-06-12,2022-12-01,0.04401097547044917254
FCO SERVICES,ocds-0c46vo-0001-fc42eeef-9956-4b57-b111-81cc62220d1c,Central Government,2019-06-12,2022-12-01,0.04401097547044917254
OFFICE FOR STUDENTS,ocds-0c46vo-0001-5efa1b68-420b-4c2f-a5ec-7b90edcb7a12,Central Government,2019-06-12,2022-09-30,0.09039329154929577459
MINISTRY OF DEFENCE,ocds-0c46vo-0001-71ec501c-2fe3-4c0c-a749-1c032f2213b3,Central Government,2019-06-13,2022-06-10,0.20089728780285191977
WEST SUFFOLK NHS FOUNDATION TRUST,ocds-0c46vo-0001-69efbb43-d58e-4a8a-a8ac-30324cf06f6a,NHS,2019-06-14,2022-06-13,0.15685337140729927
PUBLIC HEALTH ENGLAND,ocds-0c46vo-0001-a5712f0a-0751-4e64-a96a-122f9968af19,Central Government,2019-06-14,2023-03-31,0.02192984859408795963
PUBLIC HEALTH ENGLAND,ocds-0c46vo-0001-a5a8d89b-88b6-4166-8439-2eb54039f734,Central Government,2019-06-14,2023-03-31,0.02192984859408795963
COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ocds-0c46vo-0001-9f86356b-b898-4e00-b0eb-a4903981ac79,NHS,2019-06-14,2024-06-13,0.01914570607553366173
PUBLIC HEALTH ENGLAND,ocds-0c46vo-0001-86427e50-582b-47da-af40-f5dc9dbc9456,Central Government,2019-06-14,2023-03-31,0.02192984859408795963
"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",ocds-0c46vo-0001-7315b2c4-9ebe-4535-a66b-15794ab5615a,Central Government,2019-06-15,2023-03-31,0.02699317532467532467
ENVIRONMENT AGENCY,ocds-0c46vo-0001-f860ec8d-6422-4e18-b1cb-86fbbdae18c0,Central Government,2019-06-16,2022-09-30,0.00355341896758104738
FCO SERVICES,ocds-0c46vo-0001-ef00b29f-a72e-4296-acb3-a858d6842158,Central Government,2019-06-17,2022-12-01,0.06544210758227848094
ENVIRONMENT AGENCY,ocds-0c46vo-0001-31aca11f-b39b-4e68-a517-db8120281968,Central Government,2019-06-17,2022-05-31,0.00395811390555555556
OFFICE FOR STUDENTS,ocds-0c46vo-0001-46790b0b-1c4a-4952-99f9-10c34aa2ed52,Central Government,2019-06-17,2022-03-31,0.0788326837095191363
VALUATION OFFICE AGENCY,ocds-0c46vo-0001-69d4a238-0ef0-4aa1-b35d-9601c69bac86,Central Government,2019-06-17,2022-06-16,0.10035847517337591236
FOREIGN AND COMMONWEALTH OFFICE,ocds-0c46vo-0001-ca1ea7dd-37e2-41b6-a858-a893566f97b0,Central Government,2019-06-17,2023-03-31,4.1490906199205202
SALFORD ROYAL NHS FOUNDATION TRUST,ocds-0c46vo-0001-600312a9-683c-434d-8792-abc2e6a47186,NHS,2019-06-19,2022-06-18,0.18982685036496350356
MINISTRY OF DEFENCE,ocds-0c46vo-0001-c21fecbf-f85d-4480-be7b-9a4fddcab44f,Central Government,2019-06-19,2022-06-13,0.22861314390467461026
FCO SERVICES,ocds-0c46vo-0001-9e96a03d-ddf3-4a91-8e70-1d9ff593c45b,Central Government,2019-06-19,2022-12-01,0.09597293137749603805
HM REVENUE AND CUSTOMS TAXES AND DUTIES,ocds-0c46vo-0001-bd507694-0449-4849-ba7a-a6cf6f7ec1ae,Central Government,2019-06-20,2023-06-19,0.20328242172550307995
MINISTRY OF DEFENCE,ocds-0c46vo-0001-4d6bcfde-e2f2-49f0-ab02-b22d046b667c,Central Government,2019-06-20,2023-06-19,0.87440205338809034853
NHS ARDEN AND GREATER EAST MIDLANDS COMMISSIONING SUPPORT UNIT,ocds-0c46vo-0001-4292454a-1d4d-48d9-a8f6-7a0d2ed9ff9c,NHS,2019-06-20,2023-03-31,2.3522835336712527
HM REVENUE AND CUSTOMS,ocds-0c46vo-0001-bd507694-0449-4849-ba7a-a6cf6f7ec1ae,Central Government,2019-06-20,2023-06-19,0.20328242172550307995
